PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,Description
35,235.0,4,1,2,2-(2-chloro-5-oxofuran-2-yl)acetic acid,0.3,C6H5ClO4,176.55,C1=CC(OC1=O)(CC(=O)O)Cl,63.6,0,11,
36,186.0,5,3,4,2-hydroxy-3-propan-2-ylbutanedioic acid,0.0,C7H12O5,176.17,CC(C)C(C(C(=O)O)O)C(=O)O,94.8,0,12,3-isopropylmalic acid is a 2-hydroxydicarboxylic acid and a dicarboxylic fatty acid. It is functionally related to a succinic acid. It is a conjugate acid of a 3-isopropylmalate(2-).
37,177.0,6,4,5,"4,5,6-trihydroxy-2-oxohexanoic acid",-2.3,C6H10O6,178.14,C(C(C(CO)O)O)C(=O)C(=O)O,115.0,0,12,
38,159.0,4,2,3,"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid",-0.1,C6H10O4,146.14,CC(C)(CO)C(=O)C(=O)O,74.6,0,10,
39,169.0,3,0,0,"4,4-dimethyloxolane-2,3-dione",0.6,C6H8O3,128.13,CC1(COC(=O)C1=O)C,43.4,0,9,
40,128.0,5,4,1,"6-(hydroxymethyl)oxane-2,4,5-triol",-1.6,C6H12O5,164.16,C1C(C(C(OC1O)CO)O)O,90.2,0,11,
41,269.0,7,3,6,(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate,-1.0,C6H11O6PS,242.19,CSCCC(=O)C(=COP(=O)(O)O)O,129.0,0,14,
42,325.0,6,3,6,"2-hydroxy-6-oxonona-2,4-dienedioic acid",-0.4,C9H10O6,214.17,C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O,112.0,0,15,
43,141.0,5,3,4,2-hydroxypentanedioic acid,-1.0,C5H8O5,148.11,C(CC(=O)O)C(C(=O)O)O,94.8,0,10,2-hydroxyglutaric acid is a 2-hydroxydicarboxylic acid that is glutaric acid in which one hydrogen alpha- to a carboxylic acid group is substituted by a hydroxy group. It has a role as a metabolite and a mouse metabolite. It is a 2-hydroxydicarboxylic acid and a dicarboxylic fatty acid. It is functionally related to a glutaric acid. It is a conjugate acid of a 2-hydroxyglutarate(1-) and a 2-hydroxyglutarate.
44,91.8,5,1,0,2-hydroxypropanedioate,0.2,C3H2O5-2,118.04,C(C(=O)[O-])(C(=O)[O-])O,100.0,-2,8,Hydroxymalonate(2-) is a dicarboxylic acid dianion and a hydroxymalonate. It is functionally related to a malonate(2-). It is a conjugate base of a hydroxymalonate(1-).
45,103.0,5,3,2,2-hydroxypropanedioic acid,-1.1,C3H4O5,120.06,C(C(=O)O)(C(=O)O)O,94.8,0,8,Hydroxymalonic acid is a dicarboxylic acid that is malonic acid substituted by a hydroxy group at position 2. It has a role as a plant metabolite. It is a dicarboxylic fatty acid and a 2-hydroxydicarboxylic acid. It is functionally related to a malonic acid. It is a conjugate acid of a hydroxymalonate(1-).
46,307.0,9,5,7,"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid",-3.4,C6H11O9P,258.12,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O,162.0,0,16,
47,128.0,3,1,3,3-methyl-2-oxopentanoic acid,1.1,C6H10O3,130.14,CCC(C)C(=O)C(=O)O,54.4,0,9,"3-methyl-2-oxovaleric acid is a 2-oxo monocarboxylic acid that is valeric acid carrying oxo- and methyl substituents at C-2 and C-3, respectively. An alpha-keto acid analogue and metabolite of isoleucine in man, animals and bacteria. Used as a clinical marker for maple syrup urine disease (MSUD). It has a role as a human metabolite. It is a 2-oxo monocarboxylic acid and a branched-chain keto acid. It is functionally related to a valeric acid. It is a conjugate acid of a 3-methyl-2-oxovalerate."
48,174.0,4,2,4,"5-amino-2,5-dioxopentanoic acid",-1.5,C5H7NO4,145.11,C(CC(=O)N)C(=O)C(=O)O,97.5,0,10,2-oxoglutaramic acid is a 2-oxo monocarboxylic acid. It is functionally related to a glutaramic acid. It is a conjugate acid of a 2-oxoglutaramate.
49,115.0,3,1,2,3-methyl-2-oxobutanoic acid,0.7,C5H8O3,116.11,CC(C)C(=O)C(=O)O,54.4,0,8,3-methyl-2-oxobutanoic acid is a 2-oxo monocarboxylic acid that is the 2-oxo derivative of isovaleric acid. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a 2-oxo monocarboxylic acid and a branched-chain keto acid. It is functionally related to a butyric acid. It is a conjugate acid of a 3-methyl-2-oxobutanoate. It is a tautomer of a 2-hydroxy-3-methyl-2-butenoic acid.
50,201.0,7,5,5,"3,4,5,6-tetrahydroxy-2-oxohexanoic acid",-2.9,C6H10O7,194.14,C(C(C(C(C(=O)C(=O)O)O)O)O)O,135.0,0,13,2-Keto-L-gluconate is a hexose.
51,171.0,5,2,4,2-oxopentanedioic acid,-0.9,C5H6O5,146.1,C(CC(=O)O)C(=O)C(=O)O,91.7,0,10,
52,1480.0,23,10,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate",-5.4,C26H44N7O18P3S,867.7,CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,409.0,0,55,
53,1530.0,23,9,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate",-5.2,C26H42N7O18P3S,865.6,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,406.0,0,55,
54,1450.0,22,9,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate",-4.2,C26H44N7O17P3S,851.7,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389.0,0,54,
55,1140.0,2,2,23,"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol",16.1,C46H70O2,655.0,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C,40.5,0,48,
56,1120.0,2,1,24,"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol",15.8,C46H70O2,655.0,CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C,29.5,0,48,
57,1110.0,1,1,23,"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol",,C46H70O,639.0,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C,20.2,0,47,
58,95.1,3,1,2,2-oxobutanoic acid,0.1,C4H6O3,102.09,CCC(=O)C(=O)O,54.4,0,7,
59,182.0,7,4,4,3-hydroxy-2-phosphonooxypropanoic acid,-2.6,C3H7O7P,186.06,C(C(C(=O)O)OP(=O)(O)O)O,124.0,0,11,
60,1050.0,17,9,13,"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",-7.7,C14H26N3O17P3,601.29,CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O,318.0,0,37,
61,311.0,10,5,6,"2,3-diphosphonooxypropanoic acid",-3.7,C3H8O10P2,266.04,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O,171.0,0,15,
62,197.0,1,1,0,"2,4,5-trichlorocyclohexa-2,5-dien-1-ol",1.9,C6H5Cl3O,199.5,C1=C(C(C=C(C1O)Cl)Cl)Cl,20.2,0,10,
63,105.0,4,3,3,"2,4-diaminopentanoic acid",-3.5,C5H12N2O2,132.16,CC(CC(C(=O)O)N)N,89.3,0,9,
64,176.0,2,2,0,"2,5-dichlorocyclohexa-2,5-diene-1,4-diol",0.6,C6H6Cl2O2,181.01,C1=C(C(C=C(C1O)Cl)O)Cl,40.5,0,10,
65,106.0,2,2,0,"2,5-dichlorobenzene-1,4-diol",,C6H4Cl2O2,179.0,C1=C(C(=CC(=C1Cl)O)Cl)O,40.5,0,10,
66,97.1,1,1,0,"2,5-dichlorophenol",,C6H4Cl2O,163.0,C1=CC(=C(C=C1Cl)O)Cl,20.2,0,9,"2,5-dichlorophenol is a dichlorophenol with the chloro substituents at positions 2 and 5. It has a role as a human xenobiotic metabolite."
67,233.0,7,4,5,"3,4,6-trihydroxy-2,5-dioxohexanoic acid",-2.5,C6H8O7,192.12,C(C(=O)C(C(C(=O)C(=O)O)O)O)O,132.0,0,13,
68,356.0,9,4,1,"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol",-2.8,C5H12O9P2,278.09,CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO,143.0,0,16,
69,225.0,4,2,3,"2-hydroxy-6-oxohepta-2,4-dienoic acid",0.2,C7H8O4,156.14,CC(=O)C=CC=C(C(=O)O)O,74.6,0,11,"2-hydroxy-6-oxo-2,4-heptadienoic acid is an alpha,beta-unsaturated monocarboxylic acid that is 2,4-heptadienoic acid substituted by hydroxy and oxo groups at positions 2 and 6 respectively. It has a role as a bacterial xenobiotic metabolite. It is an alpha,beta-unsaturated monocarboxylic acid, a hydroxy monocarboxylic acid, an oxo monocarboxylic acid and an enone. It is a conjugate acid of a 2-hydroxy-6-oxo-2,4-heptadienoate."
70,126.0,3,1,3,4-methyl-2-oxopentanoic acid,0.9,C6H10O3,130.14,CC(C)CC(=O)C(=O)O,54.4,0,9,4-methyl-2-oxopentanoic acid is a 2-oxo monocarboxylic acid that is pentanoic acid (valeric acid) substituted with a keto group at C-2 and a methyl group at C-4. A metabolite that has been found to accumulate in maple syrup urine disease. It has a role as a human metabolite and an algal metabolite. It is a 2-oxo monocarboxylic acid and a branched-chain keto acid. It is functionally related to a valeric acid. It is a conjugate acid of a 4-methyl-2-oxopentanoate.
71,183.0,5,2,5,2-oxohexanedioic acid,-0.5,C6H8O5,160.12,C(CC(=O)C(=O)O)CC(=O)O,91.7,0,11,2-oxoadipic acid is an oxo dicarboxylic acid that is adipic acid substituted by an oxo group at position 2. It has a role as a mouse metabolite and a human urinary metabolite. It is functionally related to an adipic acid. It is a conjugate acid of a 2-oxoadipate(2-).
72,157.0,4,3,1,"3,4-dihydroxybenzoic acid",,C7H6O4,154.12,C1=CC(=C(C=C1C(=O)O)O)O,77.8,0,11,"3,4-dihydroxybenzoic acid is a dihydroxybenzoic acid in which the hydroxy groups are located at positions 3 and 4. It has a role as a human xenobiotic metabolite, a plant metabolite, an antineoplastic agent, an EC 1.1.1.25 (shikimate dehydrogenase) inhibitor and an EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor. It is a member of catechols and a dihydroxybenzoic acid. It is functionally related to a benzoic acid. It is a conjugate acid of a 3,4-dihydroxybenzoate."
73,631.0,14,6,6,[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate,,C10H15N5O10P2,427.2,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,233.0,0,27,
74,1490.0,23,9,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate",,C25H40N7O18P3S,851.6,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,406.0,0,54,
75,28.1,2,1,2,3-aminopropanal,-1.3,C3H7NO,73.09,C(CN)C=O,43.1,0,5,
76,508.0,2,1,0,"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",,C19H28O2,288.4,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,37.3,0,21,
77,198.0,5,3,4,2-hydroxy-2-propan-2-ylbutanedioic acid,-0.2,C7H12O5,176.17,CC(C)C(CC(=O)O)(C(=O)O)O,94.8,0,12,
78,75.3,3,2,2,2-amino-3-chloropropanoic acid,-2.8,C3H6ClNO2,123.54,C(C(C(=O)O)N)Cl,63.3,0,7,"3-chloroalanine is a chloroalanine obtained by replacement of one of the methyl hydrogens of alanine by a chloro group. It is a non-proteinogenic alpha-amino acid, an organochlorine compound and a chloroalanine."
79,111.0,2,0,0,pyridine-3-carbonitrile,,C6H4N2,104.11,C1=CC(=CN=C1)C#N,36.7,0,8,3-pyridinecarbonitrile is a nitrile that is pyridine substituted by a cyano group at position 3. It is a nitrile and a member of pyridines. It is functionally related to a pyridine.
80,255.0,5,3,1,"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid",-1.4,C7H8O5,172.13,C1C(C(C(=O)C=C1C(=O)O)O)O,94.8,0,12,
81,348.0,10,6,8,"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",-4.0,C7H13O10P,288.15,C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O,182.0,0,18,
82,532.0,10,5,6,5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid,-1.8,C10H13O10P,324.18,C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O,171.0,0,21,
84,1610.0,25,11,24,"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid",-6.6,C27H44N7O20P3S,911.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O,446.0,0,58,
85,139.0,3,2,4,(3-carboxy-2-hydroxypropyl)-trimethylazanium,-0.8,C7H16NO3+,162.21,C[N+](C)(C)CC(CC(=O)O)O,57.5,1,11,Carnitinium is a quaternary ammonium ion that is the the conjugate acid of carnitine. It has a role as a human metabolite and a mouse metabolite. It is functionally related to a gamma-amino-beta-hydroxybutyric acid. It is a conjugate acid of a carnitine.
86,160.0,4,3,1,2-amino-3-hydroxybenzoic acid,,C7H7NO3,153.14,C1=CC(=C(C(=C1)O)N)C(=O)O,83.6,0,11,"3-hydroxyanthranilic acid is an aminobenzoic acid that is benzoic acid substituted at C-2 by an amine group and at C-3 by a hydroxy group. It is an intermediate in the metabolism of the amino acid tryptophan. It has a role as a human metabolite and a mouse metabolite. It is an aminobenzoic acid and a monohydroxybenzoic acid. It is functionally related to an anthranilic acid. It is a conjugate acid of a 3-hydroxyanthranilate. It is a tautomer of a 2,3-dihydro-3-oxoanthranilic acid."
87,69.3,3,2,2,3-hydroxy-2-methylpropanoic acid,-0.4,C4H8O3,104.1,CC(CO)C(=O)O,57.5,0,7,"3-hydroxyisobutyric acid is a 4-carbon, branched hydroxy fatty acid and intermediate in the metabolism of valine. It is functionally related to a propionic acid. It is a conjugate acid of a 3-hydroxyisobutyrate."
88,1450.0,23,10,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate",-5.8,C25H42N7O18P3S,853.6,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,409.0,0,54,
89,282.0,6,4,4,2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,-2.5,C10H12N2O4,224.21,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,127.0,0,16,3-hydroxykynurenine is a hydroxykynurenine that is kynurenine substituted by a hydroxy group at position 3. It has a role as a human metabolite.
90,1580.0,25,11,25,"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid",-6.5,C27H44N7O20P3S,911.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O,446.0,0,58,
91,156.0,3,2,3,3-(3-hydroxyphenyl)propanoic acid,,C9H10O3,166.17,C1=CC(=CC(=C1)O)CCC(=O)O,57.5,0,12,3-(3-hydroxyphenyl)propanoic acid is a monocarboxylic acid that is propionic acid carrying a 3-hydroxyphenyl substituent at C-3. It has a role as a human xenobiotic metabolite and an Escherichia coli metabolite. It is functionally related to a propionic acid. It is a conjugate acid of a 3-(3-hydroxyphenyl)propanoate.
